"id","Age","Gender","TravelPreference","HiringDepartment","DistanceFromHome","EducationLevel","EducationField","Role","Internships","Over18","StandardHours","Summary","ExtraCurriculars","AgeBracket"
"5154744b-ce38-11e8-a136-37e1d5c32837","27","Female","Travel_Frequently","Sales","8","3","Life Sciences","Sales Executive","1","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  So far I have completed 1 internships, building work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Hockey","Under 40"
"53af69cb-ce38-11e8-a136-37e1d5c32837","57","Female","Travel_Rarely","Research & Development","3","3","Medical","Laboratory Technician","4","Y","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have done 4 internships, building work experience.  I am very dedicated  and would be a good additional at your firm.","Netball, Womens Debating, Womens Soccer, Hockey, Womens Rowing, Womens Debating","40 and Over"
"5b45dfe0-ce38-11e8-a136-37e1d5c32837","32","Female","Travel_Rarely","Research & Development","19","2","Medical","Laboratory Technician","0","Y","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 0 internships, building valuable work experience.  I am a hard worker  and I hope to hear from you soon.","Womens Debating","Under 40"
"5bb1d705-ce38-11e8-a136-37e1d5c32837","44","Female","Travel_Rarely","Research & Development","1","4","Medical","Healthcare Representative","7","Y","80","Recently I completed my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 7 internships, and can provide references.  I am a hard worker  and would be a good additional at your firm.","Womens Rowing","40 and Over"
"54babbfa-ce38-11e8-a136-37e1d5c32837","35","Female","Travel_Rarely","Sales","2","3","Marketing","Sales Representative","1","Y","80","Hi there. I am a Marketing major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 1 internships.  I am very dedicated  and I am a good match for the role.","Womens Athletics","Under 40"
"592c55cb-ce38-11e8-a136-37e1d5c32837","40","Female","Travel_Frequently","Research & Development","26","5","Medical","Research Director","3","Y","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 3 internships.  I am a hard worker  and would be a good additional at your firm.","Netball, Womens Basketball, Womens Soccer, Womens Basketball, Womens Athletics, Womens Debating","40 and Over"
"50d8c837-ce38-11e8-a136-37e1d5c32837","29","Female","Travel_Rarely","Sales","5","3","Engineering","Sales Executive","1","Y","80","Recently I completed my Engineering education, and wish to start my career in a corporate role working for your company.  Already I have done 1 internships, building valuable work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Womens Basketball","Under 40"
"57e64de4-ce38-11e8-a136-37e1d5c32837","44","Female","Travel_Rarely","Sales","2","3","Engineering","Manager","3","Y","80","Recently I completed my Engineering major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have completed 3 internships, building work experience.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Womens Rowing","40 and Over"
"5c1014ac-ce38-11e8-a136-37e1d5c32837","53","Female","Travel_Rarely","Sales","2","1","Medical","Sales Executive","4","Y","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have completed 4 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Womens Soccer","40 and Over"
"5521d1de-ce38-11e8-a136-37e1d5c32837","54","Female","Travel_Rarely","Research & Development","17","3","Engineering","Manufacturing Director","8","Y","80","Recently I completed my Engineering education, and wish to start my career in a corporate role in a corporate role.  Already I have done 8 internships, building valuable work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Womens Debating, Womens Rowing, Netball","40 and Over"
"57c70b0b-ce38-11e8-a136-37e1d5c32837","23","Female","Travel_Rarely","Research & Development","4","3","Medical","Research Scientist","2","Y","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 2 internships, and can provide references.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Womens Tennis","Under 40"
"5b92941e-ce38-11e8-a136-37e1d5c32837","33","Female","Travel_Rarely","Sales","7","1","Life Sciences","Sales Representative","1","Y","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 1 internships.  I am a hard worker  and would be a good additional at your firm.","Womens Athletics","Under 40"
"56add85e-ce38-11e8-a136-37e1d5c32837","32","Female","Travel_Rarely","Sales","9","1","Life Sciences","Sales Executive","1","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  So far I have completed 1 internships.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Womens Athletics","Under 40"
"5a756a7b-ce38-11e8-a136-37e1d5c32837","42","Female","Travel_Rarely","Research & Development","2","3","Life Sciences","Manager","5","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 5 internships.  I am very dedicated  and I am ready to start at your firm immediately.","Womens Soccer","40 and Over"
"57cb7727-ce38-11e8-a136-37e1d5c32837","44","Female","Travel_Rarely","Research & Development","2","4","Engineering","Manufacturing Director","2","Y","80","I am a Engineering education, and wish to start my career in a corporate role in the corporate sector.  I have done 2 internships, building work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Womens Athletics, Netball, Womens Debating, Womens Soccer, Womens Debating, Netball","40 and Over"
"553a37fd-ce38-11e8-a136-37e1d5c32837","29","Female","Travel_Rarely","Research & Development","9","4","Medical","Laboratory Technician","9","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 9 internships.  As you can see, I am highly motivated  and I hope to hear from you soon.","Womens Soccer, Womens Soccer, Womens Tennis","Under 40"
"58e3717b-ce38-11e8-a136-37e1d5c32837","28","Female","Travel_Rarely","Sales","8","2","Other","Sales Executive","5","Y","80","Hi there. I am applying for a role after completing my Other education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 5 internships, building work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Womens Rowing","Under 40"
"51fa5e03-ce38-11e8-a136-37e1d5c32837","25","Female","Travel_Frequently","Sales","2","1","Life Sciences","Sales Executive","3","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  I have already done 3 internships, and can provide references. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Hockey","Under 40"
"55ec7bd9-ce38-11e8-a136-37e1d5c32837","33","Female","Travel_Rarely","Research & Development","1","4","Other","Research Scientist","1","Y","80","Hi there. I am applying for a role after completing my Other education, and wish to start my career in a corporate role working for your company.  I have completed 1 internships, and can provide references.  I am very dedicated  and I am a good match for the role.","Netball","Under 40"
"57c29eec-ce38-11e8-a136-37e1d5c32837","33","Female","Travel_Rarely","Research & Development","5","4","Engineering","Manufacturing Director","0","Y","80","Recently I completed my Engineering major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 0 internships, building work experience.  As you can see, I am a hard worker  and I hope to hear from you soon.","Womens Soccer","Under 40"
"58c25a30-ce38-11e8-a136-37e1d5c32837","57","Female","Travel_Rarely","Human Resources","6","2","Medical","Human Resources","8","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 8 internships. As you can see, I am very dedicated and I am a good match for the role.","Womens Rowing","40 and Over"
"5b10ce99-ce38-11e8-a136-37e1d5c32837","48","Female","Travel_Rarely","Sales","16","4","Life Sciences","Sales Executive","8","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have completed 8 internships.  I am a hard worker  and I am a good match for the role.","Womens Rowing, Womens Soccer, Womens Tennis","40 and Over"
"551c5480-ce38-11e8-a136-37e1d5c32837","34","Female","Travel_Rarely","Research & Development","6","4","Life Sciences","Laboratory Technician","1","Y","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 1 internships.  I am very dedicated  and I hope to hear from you soon.","Hockey, Hockey, Womens Rowing","Under 40"
"50c1c175-ce38-11e8-a136-37e1d5c32837","55","Female","Travel_Rarely","Research & Development","2","3","Life Sciences","Manager","2","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 2 internships.  I am a hard worker  and I am ready to start at your firm immediately.","Womens Rowing","40 and Over"
"56d50937-ce38-11e8-a136-37e1d5c32837","38","Female","Travel_Rarely","Research & Development","2","3","Medical","Manufacturing Director","4","Y","80","I am a Medical education, and wish to start my career in a corporate role in a corporate role.  I have already done 4 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Hockey","Under 40"
"522585dd-ce38-11e8-a136-37e1d5c32837","44","Female","Travel_Rarely","Sales","28","3","Medical","Sales Executive","3","Y","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  I have completed 3 internships.  As you can see, I am a hard worker  and I hope to hear from you soon.","Hockey, Womens Rowing, Womens Soccer","40 and Over"
"5d50ed47-ce38-11e8-a136-37e1d5c32837","53","Female","Travel_Rarely","Human Resources","26","4","Human Resources","Manager","4","Y","80","I am a Human Resources education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 4 internships, and can provide references. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Womens Rowing","40 and Over"
"536859ff-ce38-11e8-a136-37e1d5c32837","35","Female","Travel_Frequently","Research & Development","25","4","Life Sciences","Research Scientist","1","Y","80","I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have done 1 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Womens Athletics","Under 40"
"504356ae-ce38-11e8-a136-37e1d5c32837","34","Female","Non-Travel","Research & Development","8","3","Life Sciences","Research Director","9","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 9 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Netball","Under 40"
"57844041-ce38-11e8-a136-37e1d5c32837","33","Female","Travel_Rarely","Sales","1","4","Marketing","Sales Executive","0","Y","80","Hi there. I am a Marketing education, and wish to start my career in a corporate role in a corporate role.  So far I have completed 0 internships, building valuable work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Netball","Under 40"
"591046d3-ce38-11e8-a136-37e1d5c32837","39","Female","Travel_Rarely","Sales","6","3","Medical","Sales Executive","2","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 2 internships.  I am a hard worker  and I am ready to start at your firm immediately.","Womens Debating","Under 40"
"52f056cb-ce38-11e8-a136-37e1d5c32837","23","Female","Travel_Rarely","Research & Development","8","1","Medical","Laboratory Technician","1","Y","80","Hi there. I am a Medical education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 1 internships, building valuable work experience.  I am very dedicated  and I hope to hear from you soon.","Womens Soccer, Womens Rowing, Womens Athletics","Under 40"
"528104d5-ce38-11e8-a136-37e1d5c32837","42","Female","Travel_Rarely","Research & Development","1","2","Life Sciences","Manufacturing Director","9","Y","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have already done 9 internships, and can provide references.  I am highly motivated  and would be a good additional at your firm.","Netball, Hockey, Womens Basketball","40 and Over"
"57be59d6-ce38-11e8-a136-37e1d5c32837","31","Female","Travel_Rarely","Research & Development","25","3","Medical","Research Scientist","4","Y","80","Recently I completed my Medical education, and wish to start my career in a corporate role in the corporate sector.  I have already done 4 internships, building valuable work experience.  I am highly motivated  and I hope to hear from you soon.","Hockey","Under 40"
"520642f6-ce38-11e8-a136-37e1d5c32837","37","Female","Travel_Rarely","Research & Development","10","4","Medical","Manufacturing Director","1","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have already done 1 internships, building work experience.  As you can see, I am a hard worker  and I am a good match for the role.","Netball","Under 40"
"59eec3be-ce38-11e8-a136-37e1d5c32837","50","Female","Travel_Frequently","Research & Development","20","5","Medical","Healthcare Representative","2","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have done 2 internships, and can provide references.  I am very dedicated  and I hope to hear from you soon.","Womens Soccer","40 and Over"
"5c16a352-ce38-11e8-a136-37e1d5c32837","19","Female","Travel_Rarely","Sales","12","3","Life Sciences","Sales Representative","1","Y","80","I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  So far I have completed 1 internships, building work experience.  As you can see, I am highly motivated  and would be a good additional at your firm.","Hockey","Under 40"
"5452bbd6-ce38-11e8-a136-37e1d5c32837","51","Female","Travel_Rarely","Research & Development","23","4","Life Sciences","Research Director","6","Y","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  So far I have completed 6 internships, building valuable work experience.  I am a hard worker  and I am a good match for the role.","Womens Athletics","40 and Over"
"5975612b-ce38-11e8-a136-37e1d5c32837","42","Female","Travel_Frequently","Research & Development","19","3","Medical","Research Scientist","6","Y","80","Recently I completed my Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have already done 6 internships. As you can see, I am very dedicated and would be a good additional at your firm.","Womens Basketball, Womens Debating, Netball, Netball, Womens Soccer, Womens Rowing","40 and Over"
"58b2a537-ce38-11e8-a136-37e1d5c32837","36","Female","Travel_Rarely","Sales","9","4","Life Sciences","Sales Representative","7","Y","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have completed 7 internships, and can provide references.  I am highly motivated  and I am a good match for the role.","Womens Athletics, Womens Tennis, Womens Basketball, Womens Soccer, Womens Basketball, Womens Tennis","Under 40"
"513705ec-ce38-11e8-a136-37e1d5c32837","35","Female","Travel_Rarely","Sales","2","3","Marketing","Sales Representative","1","Y","80","I am a Marketing education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 1 internships, building valuable work experience. As you can see, I am very dedicated and would be a good additional at your firm.","Womens Basketball","Under 40"
"558ba66f-ce38-11e8-a136-37e1d5c32837","23","Female","Travel_Rarely","Research & Development","19","1","Medical","Laboratory Technician","3","Y","80","I am a Medical major, with a passion to work in the corporate sector. I have done  working for your company.  I have already done 3 internships, building valuable work experience.  I am highly motivated  and I hope to hear from you soon.","Netball","Under 40"
"5006a56a-ce38-11e8-a136-37e1d5c32837","36","Female","Travel_Rarely","Human Resources","8","3","Life Sciences","Human Resources","0","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have already done 0 internships.  As you can see, I am a hard worker  and I hope to hear from you soon.","Hockey, Womens Basketball, Netball, Womens Athletics, Womens Tennis, Hockey","Under 40"
"5ad1379d-ce38-11e8-a136-37e1d5c32837","37","Female","Travel_Rarely","Research & Development","10","1","Medical","Manager","1","Y","80","Hi there. I am a Medical education, and wish to start my career in a corporate role working for your company.  I have already done 1 internships, building work experience.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Hockey","Under 40"
"55e5ed22-ce38-11e8-a136-37e1d5c32837","29","Female","Travel_Rarely","Research & Development","4","3","Medical","Laboratory Technician","8","Y","80","Recently I completed my Medical education, and wish to start my career in a corporate role working for your company.  I have completed 8 internships, building work experience.  I am very dedicated  and I am a good match for the role.","Womens Tennis, Womens Tennis, Womens Debating","Under 40"
"59043ab9-ce38-11e8-a136-37e1d5c32837","38","Female","Travel_Rarely","Sales","10","2","Life Sciences","Sales Executive","1","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 1 internships.  I am very dedicated  and I am ready to start at your firm immediately.","Womens Athletics, Womens Rowing, Womens Soccer, Hockey, Womens Debating, Womens Soccer","Under 40"
"561051ca-ce38-11e8-a136-37e1d5c32837","37","Female","Travel_Rarely","Research & Development","14","3","Life Sciences","Laboratory Technician","1","Y","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 1 internships.  As you can see, I am highly motivated  and I am a good match for the role.","Womens Tennis","Under 40"
"50d40e04-ce38-11e8-a136-37e1d5c32837","18","Female","Non-Travel","Research & Development","5","2","Life Sciences","Research Scientist","1","Y","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 1 internships, building valuable work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Womens Debating","Under 40"
"5a15a66c-ce38-11e8-a136-37e1d5c32837","38","Female","Non-Travel","Research & Development","8","1","Medical","Research Director","2","Y","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 2 internships.  I am very dedicated  and I hope to hear from you soon.","Womens Basketball","Under 40"
"58efcbab-ce38-11e8-a136-37e1d5c32837","47","Female","Travel_Rarely","Human Resources","26","4","Life Sciences","Manager","3","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 3 internships, and can provide references.  As you can see, I am highly motivated  and would be a good additional at your firm.","Womens Rowing, Womens Soccer, Netball","40 and Over"
"59e54f4f-ce38-11e8-a136-37e1d5c32837","54","Female","Travel_Rarely","Sales","11","5","Marketing","Sales Executive","4","Y","80","Hi there. I am a Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 4 internships, and can provide references.  I am very dedicated  and I am a good match for the role.","Womens Rowing","40 and Over"
"4fab747c-ce38-11e8-a136-37e1d5c32837","38","Female","Non-Travel","Research & Development","8","1","Medical","Research Director","2","Y","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  I have completed 2 internships, building valuable work experience.  As you can see, I am a hard worker  and would be a good additional at your firm.","Womens Debating, Womens Tennis, Womens Debating, Womens Basketball, Womens Debating, Netball","Under 40"
"527bd588-ce38-11e8-a136-37e1d5c32837","40","Female","Travel_Rarely","Sales","4","4","Marketing","Sales Executive","7","Y","80","Hi there. I am a Marketing education, and wish to start my career in a corporate role working for your company.  So far I have completed 7 internships.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Womens Tennis","40 and Over"
"554afe48-ce38-11e8-a136-37e1d5c32837","37","Female","Travel_Rarely","Research & Development","10","2","Life Sciences","Research Scientist","3","Y","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  I have done 3 internships, and can provide references.  I am highly motivated  and would be a good additional at your firm.","Womens Rowing","Under 40"
"5202c112-ce38-11e8-a136-37e1d5c32837","34","Female","Travel_Rarely","Sales","3","3","Other","Sales Executive","3","Y","80","Recently I completed my Other major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 3 internships, building valuable work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Womens Debating","Under 40"
"52caac58-ce38-11e8-a136-37e1d5c32837","27","Female","Travel_Rarely","Research & Development","9","4","Medical","Laboratory Technician","9","Y","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 9 internships. As you can see, I am very dedicated and I am a good match for the role.","Womens Rowing, Hockey, Womens Debating","Under 40"
"5291f213-ce38-11e8-a136-37e1d5c32837","38","Female","Travel_Rarely","Sales","22","2","Marketing","Sales Executive","2","Y","80","Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in the corporate sector.  Already I have done 2 internships, and can provide references.  I am highly motivated  and I hope to hear from you soon.","Womens Basketball","Under 40"
"50ada060-ce38-11e8-a136-37e1d5c32837","47","Female","Travel_Rarely","Research & Development","7","4","Life Sciences","Healthcare Representative","3","Y","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 3 internships, and can provide references.  As you can see, I am highly motivated  and I am a good match for the role.","Netball, Womens Basketball, Womens Soccer","40 and Over"
"5d6a64b2-ce38-11e8-a136-37e1d5c32837","45","Female","Travel_Rarely","Sales","9","3","Marketing","Sales Executive","4","Y","80","Recently I completed my Marketing education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 4 internships, building work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Womens Tennis","40 and Over"
"5ba3cf72-ce38-11e8-a136-37e1d5c32837","34","Female","Travel_Rarely","Sales","17","2","Marketing","Sales Executive","2","Y","80","Hi there. I am a Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 2 internships.  As you can see, I am highly motivated  and I hope to hear from you soon.","Womens Tennis, Womens Basketball, Womens Debating","Under 40"
"5cd8ea31-ce38-11e8-a136-37e1d5c32837","27","Female","Travel_Rarely","Research & Development","21","4","Life Sciences","Manufacturing Director","1","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 1 internships, building valuable work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Womens Basketball, Hockey, Womens Basketball","Under 40"
"5237ab68-ce38-11e8-a136-37e1d5c32837","32","Female","Travel_Rarely","Sales","1","4","Marketing","Sales Executive","0","Y","80","Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 0 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Netball","Under 40"
"5876de41-ce38-11e8-a136-37e1d5c32837","49","Female","Travel_Frequently","Research & Development","10","4","Life Sciences","Research Director","9","Y","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 9 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Womens Debating","40 and Over"
"59fc7d18-ce38-11e8-a136-37e1d5c32837","29","Female","Travel_Frequently","Research & Development","1","1","Life Sciences","Manufacturing Director","1","Y","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 1 internships.  I am very dedicated  and would be a good additional at your firm.","Womens Soccer","Under 40"
"52b023e1-ce38-11e8-a136-37e1d5c32837","44","Female","Travel_Frequently","Sales","5","4","Marketing","Sales Executive","4","Y","80","I am a Marketing major, with a passion to work in the corporate sector. I have done working for you in this role.  I have done 4 internships, building valuable work experience.  I am highly motivated  and would be a good additional at your firm.","Womens Basketball, Netball, Womens Tennis, Womens Rowing, Womens Basketball, Womens Debating","40 and Over"
